hz1,X1,Y1,Z1,hz2,X2,Y2,Z2,hz3,X3,Y3,Z3,hz4,X4,Y4,Z4,hz5,X5,Y5,Z5,hz6,X6,Y6,Z6
42,0.084448621,0.142672747,0.18455935,18.5,0.018316491,0.031920578,0.066320981,42,0.105920222,0.057150981,0.044900179,18.5,0.042160962,0.047644671,0.007291214,42,0.063116214,0.007620423,0.008187752,18.5,0.042160962,0.047644671,0.007291214
42.266,0.081334273,0.150682521,0.166956076,18.75,0.019261639,0.032452345,0.06683957,43,0.118617804,0,0.046523398,18.75,0.029966784,0.03598305,0.02117356,43,0.070923644,0,0.009062042,18.75,0.029966784,0.03598305,0.02117356
43,0.069662989,0.176181008,0.102610973,19,0.020308596,0.032990219,0.067425473,44,0.133247366,0.0109828,0.049804057,19,0.041776345,0.042409411,0.016312561,44,0.079995476,0.019623719,0.011180373,19,0.041776345,0.042409411,0.016312561
44,0.065269516,0.224293039,0.093979733,19.25,0.021254474,0.033563135,0.068216667,45,0.150222048,0.039068415,0.054768773,19.25,0.042022663,0.04942497,0.016771023,45,0.090626775,0.039294218,0.014570673,19.25,0.042022663,0.04942497,0.016771023
45,0.069706661,0.300562731,0.123144811,19.5,0.022243394,0.034123329,0.069287297,46,0.170090709,0.068553429,0.061549829,19.5,0.036064392,0.027885159,0.022077739,46,0.103219188,0.055995762,0.019345048,19.5,0.036064392,0.027885159,0.022077739
46,0.07988531,0.422562207,0.160885433,19.75,0.023242468,0.034688022,0.070549932,47,0.193611771,0.096155164,0.070400383,19.75,0.049410436,0.053324937,0.008640946,47,0.118341526,0.070280741,0.025721545,19.75,0.049410436,0.053324937,0.008640946
46.9315,0.095344472,0.479344635,0.205227118,20,0.024362637,0.035269929,0.071800188,48,0.221831058,0.121722032,0.081729493,20,0.029884191,0.031248914,0.023667494,48,0.136812791,0.082922971,0.034062704,20,0.029884191,0.031248914,0.023667494
47,0.096754614,0.472918576,0.208989113,20.25,0.025642071,0.035861629,0.073191863,49,0.256227493,0.14578416,0.096166954,20.25,0.051625494,0.050652384,0.014308039,49,0.159849142,0.094532927,0.04495003,20.25,0.051625494,0.050652384,0.014308039
48,0.123189209,0.280359236,0.275048795,20.5,0.026791066,0.036518842,0.074793548,50,0.298956591,0.168965883,0.114667165,20.5,0.045283172,0.047999073,0.022675462,50,0.189330915,0.10557529,0.059319963,20.5,0.045283172,0.047999073,0.022675462
49,0.16595739,0.134120683,0.373131185,20.75,0.027972402,0.037176617,0.07640088,51,0.353201728,0.191858991,0.138683438,20.75,0.048928395,0.04097704,0.023785804,51,0.228318702,0.116424685,0.078726505,20.75,0.048928395,0.04097704,0.023785804
49.6084,0.205267664,0.082734009,0.458258097,21,0.02916893,0.037868736,0.078104505,52,0.423760923,0.215027012,0.170441369,21,0.05592783,0.05796275,0.018252388,52,0.282069814,0.127419488,0.10587041,21,0.05592783,0.05796275,0.018252388
50,0.238774323,0.059215167,0.528469632,21.25,0.030533818,0.038622047,0.079860016,53,0.517699474,0.239023195,0.213252237,21.25,0.038933063,0.025955977,0.02799417,53,0.360214798,0.13892458,0.145734007,21.25,0.038933063,0.025955977,0.02799417
51,0.363287106,0.023458341,0.785535771,21.5,0.03215676,0.03940119,0.082044292,54,0.644002688,0.264374244,0.271402732,21.5,0.059621298,0.060070755,0.012407639,54,0.481252967,0.151408539,0.207920325,21.5,0.059621298,0.060070755,0.012407639
52,0.469924171,0.014874469,1,21.75,0.033566658,0.040266825,0.083861586,55,0.805861924,0.291284844,0.346629945,21.75,0.046073821,0.048197467,0.027255893,55,0.677243141,0.165447144,0.309162556,21.75,0.046073821,0.048197467,0.027255893
52.0429,0.469736863,0.014949429,0.999180503,22,0.034968221,0.041126917,0.085741607,56,0.964142605,0.318573983,0.421108688,22,0.060035133,0.054790989,0.021988278,56,0.938628818,0.180130141,0.444980423,22,0.060035133,0.054790989,0.021988278
53,0.361936164,0.023433428,0.766473846,22.25,0.036378275,0.041952622,0.087543556,56.8315,1,0.339609504,0.438947884,22.25,0.06171158,0.062635211,0.022993722,56.5871,1,0.186319883,0.477610277,22.25,0.06171158,0.062635211,0.022993722
54,0.2317042,0.039713001,0.488956084,22.5,0.037990498,0.042781379,0.089889298,57,0.989192486,0.343704074,0.434074825,22.5,0.056789199,0.041124554,0.028805252,57,0.942147154,0.189384347,0.448373739,22.5,0.056789199,0.041124554,0.028805252
55,0.162395639,0.057838313,0.339401855,22.75,0.039893228,0.043587573,0.092418833,58,0.8272614,0.369593815,0.35715455,22.75,0.072832788,0.069050017,0.01509963,58,0.652160411,0.199594809,0.299493966,22.75,0.072832788,0.069050017,0.01509963
55.8892,0.136698628,0.074712223,0.291633665,23,0.041568266,0.044469763,0.094477341,59,0.629315247,0.401923018,0.254362038,23,0.051069075,0.046261033,0.031512898,59,0.428526167,0.215624674,0.183712136,23,0.051069075,0.046261033,0.031512898
56,0.134015184,0.076874484,0.287632981,23.25,0.043283315,0.045403883,0.096592451,60,0.493865064,0.44170826,0.168201964,23.25,0.076754002,0.067970251,0.021424355,60,0.293704108,0.235565326,0.11009501,23.25,0.076754002,0.067970251,0.021424355
